"countyfips","State","County","Year","num_drug_crime","num_opioid_crime","num_drug_crime_state","num_opioid_crime_state","is.stateborder","num_drug_death","Population","is_sup_all_drug_death","num_opioid_death","is_sup_opioid_death","crime_grav_drug","crime_grav_opioid","fent_rt","num_primary_care_physicians","poor_fair_health","poor_physical_health_days","adult_smoking","adult_obesity","unemployment","uninsured_adults","high_school_graduation","gini","hmi","RUCA","lat","long"
9001,"CT","Fairfield",2010,1459,157,10217,1509,1,61,916829,0,33,0,1.67827307549481,-0.474365356483799,0.00100654252642174,1162,0.1145,2.81,0.1457,0.179,0.052,0.134,0.833530455,0.537,74634,2,41.228103,-73.366757
9003,"CT","Hartford",2010,2057,347,10217,1509,1,84,894014,0,52,0,1.67931672285078,-0.418058404681453,0.00100654252642174,1150,0.1114,2.91,0.1742,0.221,0.061,0.118,0.790360787,0.458,60028,1,41.806053,-72.732916
9005,"CT","Litchfield",2010,259,50,10217,1509,1,21,189927,0,16,0,1.90468959786025,-0.0849195749333236,0.00100654252642174,151,0.1046,3.14,0.1836,0.211,0.053,0.107,0.831279621,0.428,66076,4,41.791897,-73.235428
9007,"CT","Middlesex",2010,393,57,10217,1509,0,26,165676,0,16,0,2.46148527795716,0.421278523679728,0.00100654252642174,158,0.099,2.73,0.1619,0.211,0.048,0.108,0.817073171,0.419,70805,1,41.434525,-72.524227
9009,"CT","New Haven",2010,2615,255,10217,1509,0,116,862477,0,71,0,1.77906432576964,-0.159356973415814,0.00100654252642174,1215,0.1275,3.29,0.1844,0.24,0.063,0.115,0.774632499,0.457,57070,2,41.349717,-72.900204
9011,"CT","New London",2010,681,140,10217,1509,1,30,274055,0,21,0,1.55117876439528,-0.431098074386684,0.00100654252642174,203,0.1129,3.1,0.1951,0.224,0.055,0.101,0.866666667,0.418,61792,2,41.47863,-72.103452
9013,"CT","Tolland",2010,389,39,10217,1509,1,0,152691,1,0,1,2.12011748205276,0.314580361444735,0.00100654252642174,94,0.0949,2.89,0.1711,0.211,0.048,0.114,0.8475,0.392,74868,1,41.858076,-72.340977
9015,"CT","Windham",2010,169,45,10217,1509,1,18,118428,0,10,0,1.61842012296198,-0.304651096457705,0.00100654252642174,68,0.1271,3.7,0.2303,0.266,0.067,0.111,0.726647001,0.4,56564,2,41.824999,-71.990702
10001,"DE","Kent",2010,533,81,5637,1073,1,27,162310,0,17,0,1.02125975079463,-0.62274343276847,0,73,0.146,3.68,0.2392,0.312,0.047,0.135,0.725274725,0.406,51490,3,39.097088,-75.502982
10003,"DE","New Castle",2010,2445,524,5637,1073,1,84,538479,0,58,0,-0.496300143462194,-2.42451245043939,0,508,0.1223,3.26,0.2025,0.267,0.047,0.122,0.666257418,0.441,59877,1,39.575915,-75.644132
10005,"DE","Sussex",2010,602,75,5637,1073,1,34,197145,0,28,0,0.157720155426859,-1.53772312577953,0,120,0.1468,3.5,0.2272,0.289,0.049,0.188,0.698726115,0.428,48582,2,38.677511,-75.335495
21001,"KY","Adair",2010,29,3,19688,6875,0,0,18656,1,0,1,0.829766606144887,-0.405806801568558,0.000571947649968038,11,0.3077,5.55,0.2783,0.322,0.068,0.177,0.819587629,0.462,30177,7,37.105541,-85.281401
21003,"KY","Allen",2010,25,7,19688,6875,1,0,19956,1,0,1,1.09403410368274,-0.570725816961619,0.000571947649968038,2,0.2935,5.75,0.402,0.31,0.07,0.159,0.834782609,0.42,35617,3,36.75077,-86.192458
21005,"KY","Anderson",2010,61,31,19688,6875,0,0,21421,1,0,1,1.43865732438827,0.270943194739744,0.000571947649968038,7,0.1835,2.91,0.2415,0.321,0.064,0.157,0.897959184,0.376,52660,6,38.005396,-84.986417
21007,"KY","Ballard",2010,48,9,19688,6875,1,0,8249,1,0,1,1.04353773496964,-1.00745492788084,0.000571947649968038,2,0.2245,5.13,0.3358,0.299,0.062,0.203,0.90625,0.448,41776,9,37.05112,-89.009178
21009,"KY","Barren",2010,360,75,19688,6875,0,0,42173,1,0,1,0.628973760471613,-1.01563037890924,0.000571947649968038,48,0.2238,4.45,0.2616,0.282,0.062,0.156,0.845338983,0.455,38000,6,36.963614,-85.92499
21011,"KY","Bath",2010,13,2,19688,6875,0,0,11591,1,0,1,1.54009532046213,0.955845193643798,0.000571947649968038,3,0.2748,5.43,0.3468,0.334,0.09,0.158,0.833333333,0.461,32091,8,38.152249,-83.737641
21013,"KY","Bell",2010,344,144,19688,6875,1,26,28691,0,20,0,0.588426813527233,-0.052042329582781,0.000571947649968038,30,0.3436,7.32,0.3127,0.342,0.091,0.097,0.837398374,0.49,26911,7,36.72268,-83.681046
21015,"KY","Boone",2010,311,185,19688,6875,1,31,118811,0,16,0,2.66578125734953,1.52112132126769,0.000571947649968038,85,0.1527,3.97,0.1985,0.294,0.055,0.135,0.900893583,0.394,64005,1,38.974595,-84.731444
21017,"KY","Bourbon",2010,57,12,19688,6875,0,0,19985,1,0,1,1.5959671773648,0.799898009500258,0.000571947649968038,13,0.179272996,4.01,0.171145907,0.338,0.058,0.185,0.903614458,0.433,39219,2,38.202562,-84.20986
21019,"KY","Boyd",2010,543,373,19688,6875,1,22,49542,0,19,0,-0.0785626682865849,-0.716347879647858,0.000571947649968038,64,0.2488,4.99,0.2945,0.322,0.059,0.138,0.901486989,0.472,38029,2,38.360004,-82.681406
21021,"KY","Boyle",2010,87,21,19688,6875,0,0,28432,1,0,1,1.35110266054743,0.276520303397187,0.000571947649968038,32,0.131,3.85,0.2406,0.288,0.068,0.153,0.879154079,0.479,39241,7,37.6182,-84.873016
21023,"KY","Bracken",2010,6,1,19688,6875,1,0,8488,1,0,1,1.80470014181758,0.836332196225572,0.000571947649968038,4,0.2659,4.98,0.4072,0.316,0.072,0.171,0.889908257,0.424,42056,1,38.678523,-84.100355
21025,"KY","Breathitt",2010,8,6,19688,6875,0,12,13878,0,0,1,0.723099347480816,0.0988246803503463,0.000571947649968038,11,0.3253,5.84,0.3318,0.355,0.073,0.105,0.813471503,0.548,28045,7,37.521178,-83.322401
21027,"KY","Breckinridge",2010,8,1,19688,6875,1,0,20059,1,0,1,0.717682168404631,-1.16437355292748,0.000571947649968038,7,0.2635,4.46,0.3605,0.29,0.075,0.21,0.875555556,0.419,35428,8,37.778109,-86.432829
21029,"KY","Bullitt",2010,56,15,19688,6875,1,11,74319,0,0,1,1.11445414802824,-0.502926059600814,0.000571947649968038,14,0.1946,4.45,0.271,0.311,0.07,0.168,0.873820755,0.378,51409,1,37.969572,-85.703036
21031,"KY","Butler",2010,16,1,19688,6875,0,0,12690,1,0,1,1.20032319054043,-0.5739446969041,0.000571947649968038,4,0.2165,5.2,0.3024,0.313,0.08,0.183,0.876623377,0.437,35162,3,37.207013,-86.682471
21033,"KY","Caldwell",2010,57,5,19688,6875,0,0,12984,1,0,1,1.05069217954659,-0.665589745051824,0.000571947649968038,6,0.1907,4.2,0.3058,0.332,0.066,0.161,0.882352941,0.447,36255,7,37.148643,-87.87051
21035,"KY","Calloway",2010,135,17,19688,6875,1,0,37191,1,0,1,0.61173629933727,-1.08568466481695,0.000571947649968038,27,0.2053,3.62,0.2875,0.277,0.059,0.245,0.903133903,0.455,39038,7,36.620978,-88.274086
21037,"KY","Campbell",2010,824,119,19688,6875,1,28,90336,0,18,0,3.0767018992541,2.06052850620105,0.000571947649968038,65,0.1711,3.8,0.2393,0.285,0.06,0.128,0.932515337,0.441,47341,1,38.946981,-84.379583
21039,"KY","Carlisle",2010,3,0,19688,6875,1,0,5104,1,0,1,0.950236387512613,-0.979427522475005,0.000571947649968038,1,0.298,7.12,0.186,0.303,0.067,0.257,0.853333333,0.403,38182,9,36.857726,-88.975757
21041,"KY","Carroll",2010,28,11,19688,6875,1,0,10811,1,0,1,1.09968216522249,0.0168981249050121,0.000571947649968038,3,0.2292,4.32,0.20050282,0.311,0.075,0.139,0.899224806,0.455,42192,6,38.668284,-85.124083
21043,"KY","Carter",2010,32,11,19688,6875,0,16,27720,0,12,0,1.13950609953693,0.584845995716081,0.000571947649968038,6,0.3524,6,0.3561,0.338,0.083,0.132,0.890339426,0.472,34303,6,38.309555,-83.048821
21045,"KY","Casey",2010,28,1,19688,6875,0,0,15955,1,0,1,1.12980004135397,0.105875181496068,0.000571947649968038,4,0.3108,6.49,0.2306,0.312,0.064,0.191,0.876470588,0.437,26612,9,37.321962,-84.92822
21047,"KY","Christian",2010,942,195,19688,6875,1,0,73955,1,0,1,0.383651471690041,-1.60918060420891,0.000571947649968038,37,0.234,4.85,0.3263,0.299,0.084,0.156,0.823627288,0.424,36542,2,36.893388,-87.493554
21049,"KY","Clark",2010,175,129,19688,6875,0,10,35613,0,0,1,1.73445012144723,0.935096509212855,0.000571947649968038,23,0.2487,5.3,0.3817,0.293,0.063,0.141,0.810666667,0.438,45016,2,37.970133,-84.144974
21051,"KY","Clay",2010,86,38,19688,6875,0,16,21730,0,13,0,0.943694888745392,0.217819731521463,0.000571947649968038,8,0.4147,8.84,0.3761,0.31,0.103,0.106,0.724806202,0.512,24081,7,37.164466,-83.710763
21053,"KY","Clinton",2010,4,3,19688,6875,1,0,10272,1,0,1,0.434352801254555,-0.734915228977396,0.000571947649968038,4,0.2917,5.76,0.2476,0.309,0.066,0.141,0.901098901,0.487,27133,9,36.729124,-85.153499
21055,"KY","Crittenden",2010,45,12,19688,6875,1,0,9315,1,0,1,0.617908570665312,-1.25106633880786,0.000571947649968038,3,0.2635,4.88,0.3624,0.315,0.066,0.158,0.830188679,0.463,33966,7,37.358149,-88.10501
21057,"KY","Cumberland",2010,0,0,19688,6875,1,0,6856,1,0,1,0.48207718425758,-0.824167208160371,0.000571947649968038,3,0.2756,5.76,0.282,0.315,0.08,0.173,0.772727273,0.419,27382,9,36.784227,-85.393499
